"","years","extracted_mean_temps"
"1",2021,30.4861063266277
"2",2022,30.4232742433071
"3",2023,30.0535016925335
"4",2024,30.2850828398705
"5",2025,29.979622857523
"6",2026,29.7331326691151
"7",2027,29.3811981104374
"8",2028,29.1306203598976
"9",2029,29.268120005846
"10",2030,29.6123787163734
"11",2031,30.4805222976685
"12",2032,30.9201212008953
"13",2033,30.6883753744602
"14",2034,30.2937302433968
"15",2035,29.7428714590549
"16",2036,29.0798293861866
"17",2037,28.5739004217625
"18",2038,28.4476638598442
"19",2039,27.6668822898865
"20",2040,27.583763737154
"21",2041,28.2898316254616
"22",2042,28.9033899516106
"23",2043,29.7224285693169
"24",2044,30.2159978243351
"25",2045,30.0842115860462
"26",2046,29.7514168532372
"27",2047,29.7104016652584
"28",2048,29.5748367116451
"29",2049,29.0516115521908
"30",2050,29.0008279047489
"31",2051,28.8928434447765
"32",2052,28.956132681036
"33",2053,29.2269209985733
"34",2054,29.4833223033905
"35",2055,29.9082268157005
"36",2056,30.4167523622513
"37",2057,30.6648862187386
"38",2058,31.5297394379616
"39",2059,31.5844709044933
"40",2060,31.53438025527
"41",2061,31.6885035742283
"42",2062,31.0235926427841
"43",2063,30.5055822958469
"44",2064,29.7719335882664
"45",2065,30.2745160946369
"46",2066,30.6373985787392
"47",2067,30.1677928658009
"48",2068,30.5989687355518
"49",2069,31.0158364159584
"50",2070,31.4309279257774
"51",2071,32.2629848760605
"52",2072,32.5498859059334
"53",2073,31.6649614908695
"54",2074,31.629620812273
"55",2075,31.177989507246
"56",2076,31.2705304965019
"57",2077,31.0228347137928
"58",2078,31.0089844762802
"59",2079,30.7993554141045
"60",2080,30.9801767801285
"61",2081,31.2478559662819
"62",2082,31.8544658537865
"63",2083,32.1306636200905
"64",2084,32.5041677194595
"65",2085,32.0648173010826
"66",2086,32.2021231115341
"67",2087,32.5325916539192
"68",2088,32.4360175804138
"69",2089,31.8221832204819
"70",2090,30.9501241266251
"71",2091,30.4934336134911
"72",2092,30.2855082566738
"73",2093,30.7187016575813
"74",2094,31.318110308075
"75",2095,31.6372363352776
"76",2096,31.9315810758114
"77",2097,31.0464950647831
"78",2098,31.1805129150867
"79",2099,30.5330881583691
"80",2100,30.1708264414787
